State,Account_Length,Area_Code,Phone,Intl_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,total_Mins,Intl_Calls,Intl_Charge,Total_Charge,CustServ_Calls,Churn
NV,115,415,356-3646,no,no,0,184.1,98,31.3,327.0,73,27.8,212.5,106,9.56,7.5,731.1,6,2.03,70.69,2,
NM,141,415,351-9604,no,yes,28,206.9,126,35.17,264.4,126,22.47,171.8,124,7.73,9.3,652.3999999999999,11,2.51,67.88000000000001,2,
MN,51,510,355-9581,no,no,0,259.9,114,44.18,176.2,94,14.98,77.2,112,3.47,15.3,528.5999999999999,1,4.13,66.75999999999999,1,
NJ,100,415,396-5189,no,no,0,203.8,122,34.65,283.1,76,24.06,197.3,83,8.88,12.5,696.7,3,3.38,70.96999999999998,0,
IN,96,415,356-9187,no,yes,45,248.8,124,42.3,140.3,77,11.93,263.6,102,11.86,10.3,663.0,2,2.78,68.87,3,
DC,112,415,394-5537,no,yes,16,221.6,110,37.67,130.2,123,11.07,200.0,108,9.0,11.3,563.0999999999999,3,3.05,60.79,1,
MA,129,510,408-2712,yes,no,0,192.9,131,32.79,185.5,101,15.77,205.2,130,9.23,10.9,594.4999999999999,4,2.94,60.730000000000004,1,
ME,163,415,404-4486,no,no,0,122.4,129,20.81,113.4,108,9.64,180.2,97,8.11,12.5,428.5,7,3.38,41.940000000000005,1,
NH,67,415,355-1113,no,yes,40,104.9,65,17.83,216.3,93,18.39,217.4,128,9.78,9.6,548.2,9,2.59,48.59,1,
AZ,140,408,411-4674,no,no,0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,590.5,5,3.02,58.61000000000001,3,
OR,49,510,376-4519,no,no,0,119.4,69,20.3,273.3,92,23.23,214.4,153,9.65,12.4,619.5,7,3.35,56.53,2,
KS,46,510,365-5979,no,no,0,250.3,100,42.55,260.6,90,22.15,195.0,104,8.78,13.3,719.2,2,3.59,77.07,2,
NE,148,415,382-2879,no,no,0,178.3,98,30.31,282.6,110,24.02,181.0,98,8.15,11.4,653.3000000000001,4,3.08,65.56,1,
MI,112,510,420-1383,no,no,0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,697.5,2,3.46,71.97999999999999,1,
SC,78,415,411-7390,no,no,0,155.0,106,26.35,175.3,101,14.9,155.6,125,7.0,11.8,497.7,5,3.19,51.44,2,
PA,61,408,383-8848,no,yes,31,288.7,101,49.08,203.8,102,17.32,203.2,49,9.14,8.6,704.3000000000001,3,2.32,77.86,0,
MT,58,510,387-9301,no,yes,29,240.4,80,40.87,118.9,91,10.11,164.2,108,7.39,11.2,534.7,3,3.02,61.39,1,
NM,155,415,399-3164,no,no,0,190.3,123,32.35,301.3,96,25.61,214.6,134,9.66,8.0,714.2,3,2.16,69.78,1,
OH,100,510,385-8997,no,no,0,278.0,76,47.26,176.7,74,15.02,219.5,126,9.88,8.3,682.5,4,2.24,74.39999999999999,0,
WY,113,510,352-6573,no,no,0,155.0,93,26.35,330.6,106,28.1,189.4,123,8.52,13.5,688.5,3,3.65,66.62,1,
MI,81,415,408-3384,no,no,0,153.5,99,26.1,197.6,102,16.8,198.5,86,8.93,6.3,555.9,2,1.7,53.53000000000001,2,
AR,135,510,419-6033,no,yes,27,273.4,141,46.48,154.0,99,13.09,245.8,112,11.06,12.3,685.5,6,3.32,73.94999999999999,1,
FL,99,408,336-2090,no,no,0,155.3,93,26.4,265.7,95,22.58,145.7,67,6.56,12.4,579.1,4,3.35,58.89,0,
AR,59,510,343-7242,no,yes,29,133.1,114,22.63,221.2,82,18.8,131.6,103,5.92,6.8,492.7,3,1.84,49.190000000000005,1,
MO,135,510,376-1713,no,no,0,246.8,129,41.96,187.8,121,15.96,154.5,109,6.95,12.6,601.7,5,3.4,68.27000000000001,1,
WI,85,408,381-5878,yes,no,0,165.4,107,28.12,196.0,126,16.66,349.2,110,15.71,9.6,720.1999999999999,7,2.59,63.08,2,
TX,70,510,390-5470,no,no,0,59.5,103,10.12,257.2,106,21.86,208.3,86,9.37,11.1,536.1,6,3.0,44.349999999999994,0,
TX,88,510,414-4803,no,no,0,138.3,116,23.51,236.0,138,20.06,179.1,110,8.06,9.6,563.0,4,2.59,54.22,3,
NM,55,510,382-5478,no,no,0,286.7,100,48.74,134.4,121,11.42,192.9,122,8.68,6.9,620.9,5,1.86,70.7,2,
GA,75,415,333-7637,no,no,0,117.3,114,19.94,201.1,61,17.09,107.9,82,4.86,12.2,438.49999999999994,3,3.29,45.18,1,
ID,79,510,341-1647,no,yes,21,264.3,79,44.93,202.8,118,17.24,173.4,92,7.8,6.3,646.8,3,1.7,71.67,4,
AL,85,408,411-4232,no,no,0,127.9,107,21.74,271.2,124,23.05,202.2,76,9.1,12.5,613.8,5,3.38,57.27,0,
KS,86,408,339-2616,no,yes,23,225.5,107,38.34,246.3,105,20.94,245.7,81,11.06,9.8,727.3,2,2.65,72.99000000000001,0,
SD,91,510,327-3850,no,no,0,149.0,115,25.33,245.3,105,20.85,260.0,94,11.7,8.3,662.5999999999999,3,2.24,60.12,0,
LA,149,415,328-7209,no,yes,20,198.9,77,33.81,274.0,88,23.29,190.7,76,8.58,14.3,677.8999999999999,9,3.86,69.54,1,
OH,97,408,405-6189,no,no,0,256.4,125,43.59,273.9,100,23.28,222.7,101,10.02,11.1,764.1,1,3.0,79.89,1,
MA,88,415,418-6737,no,no,0,264.8,124,45.02,245.4,112,20.86,160.5,115,7.22,14.8,685.5,2,4.0,77.1,1,
AZ,60,415,366-2212,no,no,0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,511.59999999999997,2,2.51,44.6,2,
KY,54,408,356-1420,no,no,0,159.8,99,27.17,264.0,64,22.44,115.7,70,5.21,9.7,549.2,7,2.62,57.44,2,
DC,11,415,343-1323,no,yes,28,190.6,86,32.4,220.1,122,18.71,180.3,80,8.11,6.0,597.0,3,1.62,60.839999999999996,3,
WA,109,415,361-8239,no,no,0,184.0,120,31.28,120.4,119,10.23,153.7,86,6.92,11.0,469.09999999999997,3,2.97,51.400000000000006,0,
UT,90,415,384-1621,no,no,0,261.8,128,44.51,220.6,104,18.75,136.6,91,6.15,9.6,628.6,5,2.59,72.0,1,
RI,115,408,360-3525,no,no,0,147.9,109,25.14,228.4,117,19.41,299.7,90,13.49,9.6,685.6,9,2.59,60.629999999999995,3,
OH,144,415,392-3813,no,yes,18,106.4,109,18.09,108.1,113,9.19,208.4,111,9.38,10.1,433.0,5,2.73,39.39,1,
NV,91,408,337-6898,no,no,0,133.7,75,22.73,195.3,87,16.6,280.5,89,12.62,5.9,615.4,2,1.59,53.54,0,
ND,105,415,366-8036,no,yes,23,193.5,85,32.9,220.2,90,18.72,272.4,111,12.26,8.5,694.5999999999999,5,2.3,66.17999999999999,0,
NV,71,415,352-8327,yes,no,0,178.2,113,30.29,167.8,94,14.26,182.1,111,8.19,13.6,541.7,3,3.67,56.41,3,
FL,132,510,334-9505,no,yes,36,226.2,103,38.45,181.6,125,15.44,258.8,102,11.65,10.5,677.0999999999999,5,2.84,68.38000000000001,3,
MD,112,415,336-5702,no,no,0,170.4,103,28.97,200.2,71,17.02,258.3,100,11.62,11.6,640.5000000000001,4,3.13,60.739999999999995,1,
AZ,86,415,392-2381,no,yes,32,70.9,163,12.05,166.7,121,14.17,244.9,105,11.02,11.1,493.6,5,3.0,40.239999999999995,3,
AL,41,510,369-6880,no,yes,34,194.4,63,33.05,254.9,110,21.67,160.2,115,7.21,17.2,626.7,9,4.64,66.57,2,
NE,44,415,416-8697,no,no,0,240.3,146,40.85,164.6,83,13.99,240.7,106,10.83,10.6,656.1999999999999,2,2.86,68.53,1,
NV,78,408,345-3451,no,no,0,75.0,116,12.75,248.7,87,21.14,176.0,83,7.92,9.5,509.2,6,2.57,44.38,3,
IL,149,408,379-2514,no,no,0,69.1,117,11.75,136.3,100,11.59,181.7,53,8.18,6.3,393.40000000000003,3,1.7,33.22,1,
WV,72,510,418-6651,no,yes,33,96.6,59,16.42,315.4,98,26.81,163.3,117,7.35,6.2,581.5,4,1.67,52.25000000000001,4,
MI,139,415,421-3528,no,yes,20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,627.3,12,4.0,67.78999999999999,0,
AR,74,510,329-9046,no,no,0,148.5,111,25.25,146.5,42,12.45,289.2,83,13.01,9.9,594.1,6,2.67,53.38,3,
UT,50,510,406-3890,no,no,0,258.1,106,43.88,161.4,106,13.72,225.1,110,10.13,11.7,656.3000000000001,5,3.16,70.89,1,
GA,141,510,403-8904,no,yes,23,149.7,112,25.45,162.5,118,13.81,220.3,115,9.91,7.6,540.1,2,2.05,51.22,3,
AZ,140,408,393-4086,no,no,0,149.8,134,25.47,164.4,98,13.97,294.7,124,13.26,8.1,617.0000000000001,2,2.19,54.88999999999999,1,
ID,99,408,400-1367,no,no,0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,631.2,4,3.02,61.05,2,
HI,166,408,377-9473,no,no,0,181.4,108,30.84,253.8,54,21.57,112.3,94,5.05,11.6,559.1,6,3.13,60.589999999999996,1,
NV,124,408,396-3068,no,no,0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,599.1999999999999,3,1.43,54.540000000000006,1,
MD,74,415,331-9293,no,no,0,155.7,116,26.47,173.7,63,14.76,257.4,97,11.58,8.1,594.9,4,2.19,54.99999999999999,0,
GA,117,510,347-1914,no,no,0,149.9,95,25.48,256.1,110,21.77,212.7,92,9.57,13.3,632.0,13,3.59,60.41,2,
GA,85,510,395-1962,no,no,0,222.3,132,37.79,231.5,101,19.68,223.5,75,10.06,11.0,688.3,2,2.97,70.5,3,
UT,36,415,401-5485,no,yes,16,149.4,111,25.4,131.8,113,11.2,132.7,87,5.97,6.7,420.6,2,1.81,44.379999999999995,0,
MA,102,510,355-6560,yes,no,0,233.8,103,39.75,221.6,131,18.84,146.9,106,6.61,12.8,615.0999999999999,3,3.46,68.66,0,
IN,76,415,363-3911,no,no,0,204.2,100,34.71,292.6,139,24.87,244.3,105,10.99,10.5,751.6,2,2.84,73.41,0,
VT,165,510,345-1998,no,no,0,242.9,126,41.29,209.8,65,17.83,228.4,126,10.28,0.0,681.1,0,0.0,69.39999999999999,1,
IA,130,415,361-5277,no,no,0,150.4,119,25.57,230.5,99,19.59,186.3,76,8.38,12.3,579.5,4,3.32,56.86,1,
IN,78,415,376-7145,no,no,0,208.9,119,35.51,252.4,132,21.45,280.2,120,12.61,12.8,754.3,7,3.46,73.02999999999999,0,
AL,55,415,375-2975,yes,no,0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,666.0,6,3.86,67.42,1,
ME,92,415,376-8573,yes,no,0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,644.9,2,2.54,57.9,2,
RI,129,415,366-7360,no,yes,33,119.6,104,20.33,278.7,88,23.69,263.4,175,11.85,5.9,667.5999999999999,2,1.59,57.46,2,
MD,18,408,347-7898,no,no,0,273.6,93,46.51,114.6,116,9.74,250.6,120,11.28,8.2,647.0000000000001,4,2.21,69.74,1,
FL,161,415,390-7328,yes,no,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,527.1,9,3.0,52.949999999999996,2,
CA,93,415,356-5491,no,yes,36,178.7,134,30.38,178.6,102,15.18,126.8,82,5.71,8.0,492.09999999999997,4,2.16,53.43000000000001,2,
AL,144,415,373-3251,no,no,0,177.5,93,30.18,287.4,75,24.43,180.5,118,8.12,11.9,657.3,3,3.21,65.94,2,
ME,75,408,343-1965,yes,no,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,502.49999999999994,4,2.62,55.440000000000005,4,
WV,95,415,378-8019,no,no,0,175.2,91,29.78,244.4,109,20.77,75.8,95,3.41,7.5,502.90000000000003,2,2.03,55.989999999999995,1,
SD,126,415,386-1548,no,yes,23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,557.6,7,3.4,49.83,3,
FL,124,415,397-1649,no,yes,28,251.4,104,42.74,225.1,89,19.13,251.9,121,11.34,7.5,735.9,5,2.03,75.24000000000001,1,
MI,93,415,366-7247,yes,no,0,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,663.5,5,4.73,69.21000000000001,1,
MI,109,415,402-9691,yes,yes,26,217.2,138,36.92,145.5,111,12.37,280.7,76,12.63,9.3,652.6999999999999,3,2.51,64.43,0,
NM,80,510,334-9806,no,no,0,206.3,97,35.07,154.9,98,13.17,263.6,82,11.86,12.4,637.2,12,3.35,63.45,0,
AK,41,415,378-7733,no,no,0,159.3,66,27.08,125.9,75,10.7,261.9,76,11.79,11.1,558.2,5,3.0,52.57,1,
OH,136,415,407-2248,no,yes,31,143.1,88,24.33,236.6,65,20.11,227.8,120,10.25,11.4,618.9,5,3.08,57.769999999999996,2,
MO,92,415,405-3916,no,no,0,154.0,122,26.18,329.8,88,28.03,288.0,117,12.96,5.6,777.4,2,1.51,68.68,3,
KS,143,408,407-2081,no,yes,24,186.6,69,31.72,222.0,116,18.87,234.9,138,10.57,11.6,655.1,5,3.13,64.29,1,
MS,118,415,397-9148,no,yes,26,170.8,114,29.04,199.5,125,16.96,169.7,98,7.64,9.6,549.6,5,2.59,56.230000000000004,5,
VT,193,408,415-4857,no,yes,17,124.0,102,21.08,202.9,81,17.25,205.1,129,9.23,12.3,544.3,3,3.32,50.88,1,
NE,73,415,354-7314,no,no,0,198.3,94,33.71,279.3,101,23.74,146.2,87,6.58,14.8,638.5999999999999,8,4.0,68.03,3,
VA,62,408,346-5611,no,no,0,172.8,101,29.38,204.8,97,17.41,240.8,90,10.84,9.1,627.5000000000001,8,2.46,60.089999999999996,2,
DE,30,415,349-4703,no,yes,30,217.4,74,36.96,213.8,86,18.17,227.2,104,10.22,6.6,665.0000000000001,3,1.78,67.13000000000001,0,
AL,60,408,411-7778,yes,yes,29,265.9,113,45.2,215.8,94,18.34,108.1,82,4.86,14.0,603.8,12,3.78,72.18,0,
ID,148,510,421-1469,no,yes,14,93.6,137,15.91,193.8,72,16.47,144.9,84,6.52,17.5,449.79999999999995,5,4.73,43.629999999999995,1,
MS,96,510,420-5990,no,no,0,98.2,100,16.69,307.2,88,26.11,182.5,120,8.21,7.6,595.5,1,2.05,53.059999999999995,2,
OK,52,408,389-4780,no,no,0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,506.0999999999999,4,2.54,58.07,2,
NM,87,415,357-2735,no,no,0,168.2,92,28.59,224.7,100,19.1,169.5,99,7.63,12.9,575.3,3,3.48,58.8,1,
WI,41,408,409-4791,no,no,0,202.9,97,34.49,153.8,104,13.07,113.5,92,5.11,9.0,479.20000000000005,3,2.43,55.1,3,
WV,112,415,380-5286,no,no,0,261.4,108,44.44,154.5,102,13.13,130.9,90,5.89,11.6,558.4,2,3.13,66.59,1,
SC,88,510,394-8402,no,no,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,482.49999999999994,3,2.21,39.17,4,
KY,122,408,392-1616,no,yes,27,253.7,84,43.13,229.2,109,19.48,190.5,123,8.57,9.2,682.6,5,2.48,73.66000000000001,7,
MO,61,408,364-1969,no,no,0,45.0,108,7.65,151.3,74,12.86,152.9,94,6.88,9.8,359.00000000000006,6,2.65,30.039999999999996,2,
IL,87,510,390-4152,no,no,0,231.3,105,39.32,171.7,108,14.59,67.7,136,3.05,13.0,483.7,6,3.51,60.46999999999999,1,
OK,176,408,367-7039,no,no,0,47.4,125,8.06,167.8,90,14.26,163.1,107,7.34,10.5,388.8,8,2.84,32.5,2,
MI,30,510,391-6607,no,no,0,227.4,88,38.66,182.5,100,15.51,191.7,134,8.63,12.5,614.0999999999999,3,3.38,66.17999999999999,0,
NJ,95,415,379-6652,no,yes,22,40.9,126,6.95,133.4,90,11.34,264.2,91,11.89,11.9,450.4,7,3.21,33.39,0,
ID,46,415,384-1833,no,no,0,124.8,133,21.22,157.3,143,13.37,199.3,72,8.97,8.6,490.00000000000006,4,2.32,45.879999999999995,2,
DC,100,510,403-2455,yes,no,0,68.5,110,11.65,337.1,115,28.65,205.2,99,9.23,12.1,622.9,9,3.27,52.800000000000004,0,
NY,47,415,391-1348,no,yes,37,163.5,77,27.8,203.1,102,17.26,232.0,87,10.44,7.8,606.4,4,2.11,57.61,2,
AL,77,415,408-4174,no,no,0,163.0,112,27.71,219.1,89,18.62,233.4,66,10.5,6.7,622.2,3,1.81,58.64,2,
OR,98,415,366-4334,no,yes,38,213.7,61,36.33,253.0,104,21.51,207.7,73,9.35,10.7,685.1,5,2.89,70.08,2,
OK,125,415,406-5059,no,yes,36,201.3,117,34.22,42.2,78,3.59,125.7,104,5.66,5.4,374.59999999999997,3,1.46,44.93,1,
LA,67,510,373-6784,no,no,0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,9.2,632.6,10,2.48,71.99000000000001,4,
NE,194,408,408-3532,no,no,0,48.4,101,8.23,281.1,138,23.89,218.5,87,9.83,18.2,566.2,1,4.91,46.86,1,
TX,128,415,350-8680,no,yes,40,171.2,88,29.1,145.7,109,12.38,196.8,93,8.86,14.0,527.7,6,3.78,54.120000000000005,1,
UT,190,415,398-9870,no,yes,22,166.5,93,28.31,183.0,92,15.56,121.0,102,5.44,8.5,479.0,3,2.3,51.60999999999999,0,
OR,165,415,343-3356,no,no,0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,644.4999999999999,8,3.35,66.5,0,
NY,59,408,415-4609,no,no,0,107.8,113,18.33,216.6,125,18.41,217.5,92,9.79,9.9,551.8,3,2.67,49.199999999999996,2,
AL,47,408,404-5387,no,yes,28,141.3,94,24.02,168.0,108,14.28,113.5,84,5.11,7.8,430.6,2,2.11,45.519999999999996,1,
RI,150,415,415-8151,no,yes,29,209.9,77,35.68,158.0,52,13.43,141.9,113,6.39,6.6,516.4,1,1.78,57.28,0,
MN,152,415,416-2778,yes,yes,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,770.3,3,3.83,77.67999999999999,9,
NC,26,415,393-3300,no,no,0,234.5,109,39.87,216.5,129,18.4,191.6,94,8.62,3.5,646.1,6,0.95,67.84,3,
MD,79,510,391-7661,no,yes,31,103.1,90,17.53,243.0,135,20.66,76.4,92,3.44,12.2,434.7,8,3.29,44.919999999999995,3,
RI,95,510,339-4317,no,yes,27,129.5,106,22.02,248.9,90,21.16,268.0,115,12.06,11.9,658.3,3,3.21,58.45,1,
WI,69,510,418-6455,yes,no,0,279.8,90,47.57,248.7,91,21.14,171.0,118,7.69,8.4,707.9,10,2.27,78.67,2,
VT,95,510,378-3508,yes,yes,41,136.8,91,23.26,200.8,61,17.07,133.7,67,6.02,10.3,481.6,9,2.78,49.129999999999995,5,
CT,31,415,390-9359,no,yes,31,100.1,54,17.02,246.3,97,20.94,255.0,131,11.48,5.9,607.3,3,1.59,51.03,0,
OK,121,408,364-2495,no,yes,31,237.1,63,40.31,205.6,117,17.48,196.7,85,8.85,10.1,649.5,5,2.73,69.37,4,
AK,111,415,364-7719,no,no,0,172.8,58,29.38,183.1,108,15.56,158.8,104,7.15,7.9,522.6,3,2.13,54.22,4,
NY,157,415,421-1189,no,no,0,224.5,111,38.17,200.7,99,17.06,116.6,118,5.25,11.5,553.3,2,3.11,63.59,2,
GA,44,510,419-8987,no,no,0,288.1,112,48.98,258.0,92,21.93,192.4,90,8.66,10.2,748.7,4,2.75,82.32,3,
UT,61,510,402-9980,yes,no,0,78.2,103,13.29,195.9,149,16.65,108.0,100,4.86,10.1,392.20000000000005,6,2.73,37.529999999999994,2,
NM,65,415,376-5908,no,no,0,148.7,80,25.28,259.0,94,22.02,149.5,107,6.73,12.7,569.9000000000001,6,3.43,57.46,2,
NE,74,415,400-3150,no,yes,25,194.6,84,33.08,119.9,103,10.19,175.5,75,7.9,13.1,503.1,2,3.54,54.709999999999994,2,
NJ,123,408,336-1749,no,no,0,159.5,77,27.12,303.8,92,25.82,226.9,120,10.21,12.0,702.2,4,3.24,66.39,0,
TX,58,408,420-1259,no,yes,20,194.5,110,33.07,213.7,89,18.16,236.6,92,10.65,9.5,654.3,2,2.57,64.45,1,
MT,74,408,339-7541,no,no,0,174.1,96,29.6,251.1,94,21.34,257.6,123,11.59,8.3,691.0999999999999,5,2.24,64.77,2,
CO,125,415,378-9029,no,no,0,131.8,97,22.41,136.7,100,11.62,308.2,119,13.87,7.7,584.4000000000001,6,2.08,49.98,2,
VT,80,415,342-7514,no,no,0,160.6,103,27.3,237.0,109,20.15,245.1,88,11.03,10.7,653.4000000000001,1,2.89,61.370000000000005,1,
RI,53,408,422-4956,no,yes,18,146.8,107,24.96,310.0,84,26.35,178.7,130,8.04,7.2,642.7,7,1.94,61.29,0,
WY,99,408,389-8606,no,yes,28,200.7,88,34.12,264.2,116,22.46,172.7,102,7.77,9.1,646.6999999999999,5,2.46,66.80999999999999,1,
ID,99,415,406-7261,no,no,0,145.6,106,24.75,98.3,106,8.36,230.8,83,10.39,10.9,485.59999999999997,5,2.94,46.44,1,
CT,66,415,417-7973,no,yes,29,229.4,104,39.0,257.4,84,21.88,231.5,119,10.42,8.0,726.3,1,2.16,73.46,2,
ME,97,510,390-2891,no,no,0,211.0,76,35.87,189.0,100,16.07,123.0,102,5.54,4.7,527.7,4,1.27,58.75,3,
AZ,75,510,385-7387,no,yes,37,121.5,97,20.66,271.4,110,23.07,248.7,97,11.19,11.3,652.8999999999999,5,3.05,57.97,2,
MD,85,510,362-2776,yes,no,0,216.0,73,36.72,188.2,117,16.0,147.1,98,6.62,3.6,554.9,7,0.97,60.309999999999995,2,
IN,108,510,329-1955,no,no,0,293.0,88,49.81,160.6,101,13.65,143.9,87,6.48,10.0,607.5,6,2.7,72.64,2,
NC,133,408,344-3160,yes,yes,32,221.1,137,37.59,264.9,99,22.52,168.9,108,7.6,15.4,670.3,4,4.16,71.86999999999999,2,
DE,51,510,406-2454,no,no,0,181.5,108,30.86,196.9,87,16.74,187.2,119,8.42,10.3,575.8999999999999,2,2.78,58.8,1,
MN,186,415,335-3913,no,yes,26,74.3,107,12.63,177.3,116,15.07,296.3,90,13.33,14.5,562.4000000000001,3,3.92,44.95,2,
WI,44,415,355-7705,yes,no,0,62.3,92,10.59,275.0,82,23.38,138.7,108,6.24,10.8,486.8,3,2.92,43.13,1,
FL,64,408,410-7108,no,yes,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,9.0,653.2,1,2.43,69.93,3,
WV,44,510,419-1674,no,no,0,228.1,121,38.78,276.5,79,23.5,279.8,77,12.59,9.9,794.3000000000001,5,2.67,77.54,2,
SD,114,415,351-7369,no,yes,36,309.9,90,52.68,200.3,89,17.03,183.5,105,8.26,14.2,707.9000000000001,2,3.83,81.80000000000001,1,
FL,92,415,349-9566,no,no,0,201.9,74,34.32,226.8,119,19.28,217.5,80,9.79,13.7,659.9000000000001,6,3.7,67.09,3,
OR,110,408,333-3421,no,no,0,149.8,112,25.47,180.0,93,15.3,140.0,119,6.3,11.7,481.5,4,3.16,50.22999999999999,2,
CO,90,408,393-8199,no,yes,30,183.8,76,31.25,229.7,95,19.52,144.1,124,6.48,7.7,565.3000000000001,3,2.08,59.33,1,
CT,72,408,388-4879,no,yes,21,186.7,108,31.74,335.0,86,28.48,187.2,119,8.42,16.5,725.4000000000001,4,4.46,73.1,1,
IN,113,415,353-6007,no,no,0,209.4,151,35.6,347.3,113,29.52,246.0,116,11.07,7.4,810.1,2,2.0,78.19,1,
PA,171,415,416-1557,no,yes,25,223.2,77,37.94,183.2,118,15.57,150.8,90,6.79,10.2,567.4000000000001,3,2.75,63.05,3,
NM,104,415,356-7217,no,no,0,164.2,109,27.91,155.4,90,13.21,168.9,117,7.6,10.7,499.2,8,2.89,51.61000000000001,1,
ME,165,408,350-2012,no,no,0,150.5,75,25.59,193.1,93,16.41,311.6,93,14.02,10.3,665.5,2,2.78,58.8,1,
SD,104,510,420-9838,no,no,0,234.2,128,39.81,293.1,92,24.91,183.9,79,8.28,9.8,720.9999999999999,6,2.65,75.65,0,
AR,110,408,373-6379,no,no,0,55.3,102,9.4,164.7,124,14.0,200.7,108,9.03,10.2,430.9,5,2.75,35.18,1,
TX,90,408,355-7293,yes,no,0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,8.4,649.8000000000001,4,2.27,67.01,1,
NH,114,415,406-4588,no,no,0,169.6,85,28.83,58.9,86,5.01,179.3,124,8.07,7.4,415.2,8,2.0,43.91,1,
OK,101,408,345-1524,no,no,0,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,533.4,11,3.65,48.66,5,
WI,117,408,375-8493,no,yes,14,80.2,81,13.63,219.0,103,18.62,122.6,102,5.52,8.6,430.4,2,2.32,40.089999999999996,1,
AL,109,408,361-2924,no,no,0,218.9,105,37.21,299.9,87,25.49,158.6,110,7.14,11.3,688.6999999999999,4,3.05,72.89,2,
PA,82,408,359-6163,no,no,0,125.7,96,21.37,207.6,137,17.65,183.1,103,8.24,12.9,529.3,2,3.48,50.739999999999995,1,
OK,92,510,411-8140,no,no,0,176.3,85,29.97,93.4,125,7.94,207.2,107,9.32,9.6,486.50000000000006,1,2.59,49.81999999999999,2,
ME,82,510,381-9049,no,yes,29,207.2,111,35.22,254.1,137,21.6,169.3,92,7.62,9.5,640.0999999999999,5,2.57,67.00999999999999,2,
WV,90,415,344-4478,no,no,0,205.7,138,34.97,161.9,83,13.76,269.7,104,12.14,12.5,649.8,6,3.38,64.25,2,
HI,87,408,360-2690,no,yes,28,151.4,95,25.74,152.4,97,12.95,250.1,109,11.25,0.0,553.9,0,0.0,49.94,1,
MN,124,510,410-7383,no,no,0,157.5,70,26.78,130.7,79,11.11,193.4,98,8.7,9.6,491.20000000000005,4,2.59,49.18000000000001,3,
NY,39,408,356-1889,no,no,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,507.40000000000003,5,2.46,49.04,2,
AZ,84,415,341-2360,no,no,0,159.0,80,27.03,167.9,128,14.27,167.6,101,7.54,12.3,506.8,5,3.32,52.16,1,
OH,75,510,370-3021,no,yes,46,214.1,62,36.4,200.9,111,17.08,246.8,126,11.11,9.2,671.0,6,2.48,67.07000000000001,0,
MI,102,510,336-4656,no,no,0,102.6,89,17.44,246.0,77,20.91,170.5,140,7.67,9.1,528.2,4,2.46,48.480000000000004,2,
MA,62,415,386-2810,yes,no,0,159.7,86,27.15,197.5,76,16.79,121.6,105,5.47,13.9,492.69999999999993,6,3.75,53.16,0,
WV,143,510,350-1354,no,no,0,202.8,109,34.48,165.8,104,14.09,143.9,71,6.48,4.6,517.1,4,1.24,56.29,1,
MI,53,415,346-5707,no,no,0,57.5,95,9.78,265.5,131,22.57,244.3,128,10.99,11.6,578.9,6,3.13,46.470000000000006,3,
NM,30,415,405-8370,no,no,0,169.9,144,28.88,225.2,118,19.14,169.7,93,7.64,11.4,576.1999999999999,7,3.08,58.739999999999995,1,
MO,112,415,373-2053,no,no,0,335.5,77,57.04,212.5,109,18.06,265.0,132,11.93,12.7,825.7,8,3.43,90.46000000000001,2,
RI,129,415,369-5222,no,no,0,139.5,119,23.72,289.3,105,24.59,129.4,97,5.82,13.1,571.3000000000001,8,3.54,57.67,0,
NC,63,415,347-7420,no,yes,29,142.3,107,24.19,118.7,56,10.09,240.1,91,10.8,6.6,507.70000000000005,8,1.78,46.86,1,
WY,28,415,392-6856,no,no,0,187.8,94,31.93,248.6,86,21.13,208.8,124,9.4,10.6,655.8000000000001,5,2.86,65.32000000000001,0,
